Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Apr 23 2021 13:46:56,14,2,5,3,0.5,0.951,0.943,0.943,5,1,0.0486,0.0568,0.0568,-0.0082,-0.0009,虚拟地址空间紧挨代码和数据区后的是？
Apr 23 2021 13:46:59,12,2,5,2,0.41,0.957,0.943,0.943,5,1,0.0432,0.057,0.057,-0.0139,-0.0014,虚拟地址空间从什么开始？
Apr 23 2021 13:47:01,6,2,5,5,0.96,0.961,0.942,0.942,5,1,0.039,0.0579,0.0579,-0.0189,-0.0018,计算机系统主存是由一组什么组成的？
Apr 24 2021 13:53:24,17,3,8,6,0.78,0.947,0.91,0.91,5,1,0.0531,0.0904,0.0904,-0.0373,-0.0054,进程虚拟存储器的内容是保存在什么上的？
Apr 24 2021 13:53:32,4,3,8,49,6.16,0.951,0.991,0.993,5,1,0.0492,0.0086,0.0067,0.0425,0.0024,硬盘属于硬件中的(总线/IO设备/主存/处理器)?
Apr 24 2021 13:53:39,3,3,8,60,7.48,0.954,0.991,0.994,5,1,0.0459,0.0086,0.0065,0.0395,0.0021,系统与外界的联系通道的硬件叫做？
Apr 24 2021 13:53:43,8,3,8,25,3.15,0.957,0.991,0.994,5,1,0.0433,0.0085,0.0063,0.037,0.0018,文件是对什么的抽象表示？
4月 25 2021 12:19:01,16,4,11,55,5.02,0.946,0.989,0.993,5,1,0.0543,0.0114,0.0071,0.0472,0.0029,虚拟地址空间最顶部的是什么？
4月 25 2021 12:19:09,10,4,11,59,5.36,0.948,0.989,0.993,5,1,0.0518,0.0115,0.007,0.0448,0.0026,进程是对什么的抽象表示？
4月 25 2021 12:19:21,2,4,11,59,5.39,0.95,0.988,0.993,5,1,0.0496,0.0116,0.0068,0.0427,0.0024,贯穿整个计算机系统的一组电子管线叫做？
Apr 26 2021 13:40:37,9,5,14,44,3.17,0.941,0.985,0.992,5,1,0.0592,0.0148,0.0075,0.0517,0.0034,虚拟存储器是对什么的抽象表示？
Apr 28 2021 13:06:36,11,7,21,72,3.41,0.921,0.979,0.991,5,1,0.079,0.021,0.0089,0.0702,0.0062,操作系统实现一个进程和另一个进程指令交错执行的机制被称为？
Apr 28 2021 13:06:39,7,7,21,73,3.48,0.923,0.979,0.991,5,1,0.0765,0.021,0.0086,0.0679,0.0058,处理器中负责计算新的数据和地址值的部分是？
Apr 28 2021 13:06:44,14,5,16,45,2.82,0.939,0.983,0.983,5,1,0.0608,0.0168,0.0168,0.044,0.0034,虚拟地址空间紧挨代码和数据区后的是？
