Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Mar 30 2021 11:10:23,16,1,3,10,3.35,0.975,0.974,0.974,5,1,0.0246,0.0261,0.0261,-0.0015,-0.0001,Theorem: 单调有界数列必有极限  证明：有界必有上确界 => 证明上确界是极限，利用[.]即可。
Mar 30 2021 11:10:32,10,3,9,11,1.21,0.936,0.911,0.911,5,1,0.0641,0.0887,0.0887,-0.0247,-0.0038,戴德金分割 (Dedekind Cut)  1.We say that (A_B) is a Dedekind cut (of R) if (1). (2). (3).[.] We usually call A (resp. B) the lower 左集 (resp. upper 右集) part of (A_B). 2.Dedeking .
Mar 30 2021 11:10:43,15,1,2,27,13.27,0.98,0.998,0.997,5,1,0.0197,0.0024,0.0033,0.0163,0.0004,Theorem: 单调有界数列必有极限  证明：有界必有上确界 => 证明[.]，利用极限定义即可。
Mar 30 2021 11:10:56,18,1,2,28,14.22,0.982,0.998,0.996,5,1,0.018,0.0023,0.0035,0.0145,0.0003,闭区间套设有无穷多个闭区间，满足以下两个条件： (1)[an+1，bn+1]?[an，bn]（即后一个闭区间都在前一个闭区间之内） (2)（即只要n充分大，闭区间的长度与0就可以接近到预先给定的程度） 将这一无穷多个闭区间所构成的集合称为一个闭区间套。     定理：若是一个闭区间套，则存在[.]属于所有区间的交集。
Mar 30 2021 11:11:07,6,3,8,41,5.11,0.951,0.992,0.993,5,1,0.0492,0.0084,0.0066,0.0426,0.0024,部分分式分解：  (1).有指数的因式，如:[.] (2).不可约二次式，如:  (3).带指数的不可约二次式，如 :
3月 31 2021 10:49:02,13,2,5,25,5.03,0.969,0.994,0.995,5,1,0.0309,0.0056,0.0052,0.0256,0.0009,Theorem 确界定理  R上的非空集合有上界则必有最小上界，称为上确界。 证明： 令集合S为R上的非空集合。  B为S所有上界的集合，A为B的补集合，则（A_B）是R上的[.]，分情况讨论即可。
3月 31 2021 10:49:08,14,2,5,50,10.03,0.971,0.994,0.995,5,1,0.0291,0.0056,0.0052,0.0239,0.0008,Theorem 确界定理  R上的非空集合有上界则必有最小上界，称为上确界。 证明： 令集合S为R上的非空集合。  B为S[.]的集合，A为B的补集合，则（A_B）是R上的戴德金分割，分情况讨论即可。
3月 31 2021 10:49:12,11,4,11,39,3.5,0.946,0.989,0.993,5,1,0.0543,0.0114,0.0071,0.0472,0.0029,戴德金分割 (Dedekind Cut)  1.We say that (A_B) is a Dedekind cut (of R) if (1). (2). (3). We usually call A (resp. B) the lower 左集 (resp. upper 右集) part of (A_B). 2.Dedeking .
Apr 02 2021 10:57:18,7,6,18,33,1.83,0.923,0.982,0.991,5,1,0.0766,0.0178,0.0089,0.0677,0.0058,部分分式分解：  (1).有指数的因式，如: (2).不可约二次式，如:  (3).带指数的不可约二次式，如 : [.]
4月 11 2021 18:10:35,16,12,38,41,1.07,0.723,0.948,0.948,5,1,0.2769,0.0517,0.0517,0.2252,0.074,Theorem: 单调有界数列必有极限  证明：有界必有上确界 => 证明上确界是极限，利用[.]即可。
