Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
5月 12 2021 10:27:36,4,2,5,3,0.66,0.951,0.948,0.948,5,1,0.0486,0.0524,0.0524,-0.0038,-0.0004,假设某页面的page rank值为r，该页面上的链接数为n，那么该页面对另一个页面（假设该页面有一个到另一页面的链接）的贡献值是？
5月 12 2021 10:27:41,2,3,9,3,0.36,0.936,0.902,0.902,5,1,0.0641,0.0977,0.0977,-0.0336,-0.0054,假设背包问题中的物品有A_B_C，容量是4，那么所需要建立的动态规划表（dynamic programming table）的两列索引是？
5月 12 2021 10:27:49,3,2,5,13,2.62,0.961,0.983,0.983,5,1,0.039,0.0167,0.0167,0.0223,0.0012,page rank算法中，如果用N表示node的数量，d代表用户从此页面继续点击链接的概率系数（如0.85)_S代表所有链接到该页面的页面的page rank值/该页面所有的链接数的和，那么该页面page rank的更新值是？
5月 16 2021 10:47:06,4,4,13,23,1.81,0.951,0.986,0.986,5,1,0.0489,0.0141,0.0141,0.0348,0.0022,假设某页面的page rank值为r，该页面上的链接数为n，那么该页面对另一个页面（假设该页面有一个到另一页面的链接）的贡献值是？
May 17 2021 11:47:05,2,5,16,29,1.81,0.962,0.984,0.986,5,1,0.0383,0.0162,0.0137,0.0245,0.0013,假设背包问题中的物品有A_B_C，容量是4，那么所需要建立的动态规划表（dynamic programming table）的两列索引是？
May 25 2021 12:19:13,3,13,41,36,0.89,0.839,0.955,0.958,5,1,0.161,0.0452,0.042,0.1191,0.0242,page rank算法中，如果用N表示node的数量，d代表用户从某页面继续点击链接的概率系数（如0.85)_S代表所有链接到该页面的页面的page rank值/该页面所有的链接数的和，那么该页面page rank的更新值是？
Jun 08 2021 09:21:13,4,23,79,39,0.49,0.888,0.942,0.945,5,1,0.112,0.0584,0.0553,0.0567,0.0095,假设某页面的page rank值为r，该页面上的链接数为n，那么该页面对另一个页面（假设该页面有一个到另一页面的链接）的贡献值是？
6月 15 2021 11:36:46,2,29,104,67,0.65,0.893,0.935,0.957,5,1,0.1072,0.0649,0.0431,0.0641,0.0096,假设背包问题中的物品有A_B_C，容量是4，那么所需要建立的动态规划表（dynamic programming table）的两列索引是？
Jun 30 2021 09:25:37,3,36,120,44,0.37,0.941,0.916,0.952,5,1,0.059,0.0844,0.0478,0.0112,0.0012,page rank算法中，如果用N表示node的数量，d代表用户从某页面继续点击链接的概率系数（如0.85)_S代表所有链接到该页面的页面的page rank值/该页面所有的链接数的和，那么该页面page rank的更新值是？
7月 17 2021 11:29:52,4,39,142,84,0.59,0.968,0.934,0.967,5,1,0.0324,0.0656,0.0333,-0.0009,-0.0001,假设某页面的page rank值为r，该页面上的链接数为n，那么该页面对另一个页面（假设该页面有一个到另一页面的链接）的贡献值是？
Aug 13 2021 10:42:51,3,44,158,76,0.48,0.976,0.936,0.971,5,1,0.0241,0.0638,0.0292,-0.0051,-0.0003,page rank算法中，如果用N表示node的数量，d代表用户从某页面继续点击链接的概率系数（如0.85)_S代表所有链接到该页面的页面的page rank值/该页面所有的链接数的和，那么该页面page rank的更新值是？
Aug 21 2021 13:30:48,2,67,227,129,0.57,0.952,0.912,0.961,5,1,0.0477,0.0878,0.0391,0.0087,0.0008,假设背包问题中的物品有A_B_C，容量是4，那么所需要建立的动态规划表（dynamic programming table）的两列索引是？
Aug 23 2021 09:43:18,11,22,75,42,0.56,0.67,0.932,0.959,5,1,0.3296,0.0676,0.0405,0.289,0.107,如果a和b是正整数且a > b，那么简述计算gcd(a_b)的欧几里得算法。
Aug 23 2021 09:44:23,7,31,101,76,0.75,0.594,0.907,0.954,5,1,0.406,0.0926,0.0459,0.3601,0.1627,算法中维护一段数组上的闭区间[lo_hi]，并通过while循环不断迭代修改该区间的范围: while( [.] ) { . }
Aug 24 2021 11:33:47,6,32,106,47,0.45,0.605,0.904,0.958,5,1,0.3945,0.0957,0.0424,0.3522,0.1538,写出计算正整数lo和正整数hi (lo <= hi) 的中间值整数mid的表达式，并且不能有溢出风险。
Aug 29 2021 11:36:43,16,22,76,70,0.92,0.723,0.933,0.972,5,1,0.277,0.0665,0.0277,0.2494,0.076,java中某个类如果想要用foreach遍历它，那么这个类需要满足什么条件？
Aug 31 2021 10:57:01,55,1,3,25,8.32,0.986,0.998,0.996,5,1,0.0139,0.0018,0.0039,0.0099,0.0002,上图为快速排序对数组进行分割，v为基准值。 简述算法中i和j所起到的作用：[.]
